nodes,roots,leaves,edges,mean_predecessors,max_predecessors,min_predecessors,mean_successors,max_successors,min_successors,mean_edges,max_edges,min_edges,n_query_vars,n_query_evidence,experiment,runtime,exception
26,5,6,40,1.5384615384615383,3,0,1.5384615384615383,7,0,3.076923076923077,7,1,1,1,join,0.0428971000000002,
13,3,1,21,1.6153846153846154,3,0,1.6153846153846154,5,0,3.230769230769231,5,2,1,1,join,0.0293806,
21,3,5,40,1.9047619047619049,3,0,1.9047619047619049,8,0,3.809523809523809,8,1,1,4,join,0.0683547999999998,
26,9,6,38,1.4615384615384617,3,0,1.4615384615384617,5,0,2.923076923076923,5,1,1,1,join,0.0230482000000002,
6,1,1,9,1.5,3,0,1.5,4,0,3.0,4,2,1,1,join,0.0131514999999997,
33,8,8,51,1.5454545454545454,3,0,1.5454545454545454,7,0,3.090909090909091,7,1,3,2,join,0.3658906000000002,
33,9,10,53,1.606060606060606,3,0,1.606060606060606,6,0,3.212121212121212,6,1,2,2,join,0.0218509999999998,
24,8,7,31,1.2916666666666667,3,0,1.2916666666666667,5,0,2.583333333333333,5,1,2,1,join,0.0691789999999996,
2,1,1,1,0.5,1,0,0.5,1,0,1.0,1,1,1,1,join,0.0147197000000001,
31,7,7,50,1.6129032258064515,3,0,1.6129032258064515,5,0,3.225806451612903,5,1,3,4,join,0.1155359000000002,
10,3,2,16,1.6,3,0,1.6,6,0,3.2,6,1,1,1,join,0.0244446000000002,
10,1,4,13,1.3,2,0,1.3,4,0,2.6,4,1,1,2,join,0.0293146000000001,
32,7,9,52,1.625,3,0,1.625,6,0,3.25,6,1,1,3,join,1.0807629999999997,
11,2,3,18,1.6363636363636365,3,0,1.6363636363636365,4,0,3.272727272727273,4,1,1,2,join,0.0341632,
3,1,1,3,1.0,2,0,1.0,2,0,2.0,2,2,1,1,join,0.0165658999999998,
30,7,11,47,1.5666666666666669,3,0,1.5666666666666669,6,0,3.1333333333333333,6,1,1,1,join,0.0175819000000001,
5,1,2,6,1.2,3,0,1.2,4,0,2.4,4,1,1,1,join,0.0128683,
11,3,4,15,1.3636363636363635,3,0,1.3636363636363635,5,0,2.727272727272727,5,1,1,1,join,0.0338798000000002,
25,5,7,49,1.96,3,0,1.96,7,0,3.92,7,1,1,4,join,0.1391721999999999,
24,6,8,33,1.375,3,0,1.375,5,0,2.75,5,1,1,2,join,0.0209040000000002,
8,3,1,13,1.625,3,0,1.625,6,0,3.25,6,1,1,1,join,0.0258457999999999,
10,2,3,20,2.0,3,0,2.0,6,0,4.0,6,3,1,1,join,0.0235358999999997,
13,1,3,24,1.8461538461538465,3,0,1.8461538461538465,5,0,3.692307692307693,5,2,1,1,join,0.0226748000000003,
8,2,2,13,1.625,3,0,1.625,4,0,3.25,4,1,1,2,join,0.0192640000000001,
33,7,9,57,1.7272727272727273,3,0,1.7272727272727273,8,0,3.4545454545454546,8,1,2,3,join,0.0380446,
26,7,7,40,1.5384615384615383,3,0,1.5384615384615383,6,0,3.076923076923077,6,1,1,2,join,0.0306594000000002,
3,1,1,3,1.0,2,0,1.0,2,0,2.0,2,2,1,1,join,0.0203675000000003,
26,6,5,43,1.6538461538461535,3,0,1.6538461538461535,6,0,3.3076923076923075,6,1,1,1,join,0.0229297000000001,
31,5,11,51,1.6451612903225807,3,0,1.6451612903225807,6,0,3.290322580645161,6,1,1,1,join,0.1245694000000003,
17,4,6,28,1.6470588235294117,3,0,1.6470588235294117,6,0,3.294117647058824,6,1,1,3,join,0.0383441000000002,
16,3,5,26,1.625,3,0,1.625,8,0,3.25,8,1,1,3,join,0.0286729999999999,
32,9,11,48,1.5,3,0,1.5,6,0,3.0,6,1,2,2,join,0.0321367999999999,
3,1,1,3,1.0,2,0,1.0,2,0,2.0,2,2,1,1,join,0.0152320999999999,
21,4,7,35,1.6666666666666667,3,0,1.6666666666666667,7,0,3.333333333333333,7,1,1,1,join,0.0329483000000001,
9,3,3,11,1.2222222222222223,3,0,1.2222222222222223,4,0,2.4444444444444446,4,1,1,1,join,0.0107355999999998,
6,1,2,9,1.5,3,0,1.5,4,0,3.0,4,2,1,1,join,0.0142793999999999,
11,1,3,15,1.3636363636363635,3,0,1.3636363636363635,5,0,2.727272727272727,5,1,1,3,join,0.0362616,
27,4,7,43,1.5925925925925926,3,0,1.5925925925925926,7,0,3.185185185185185,7,1,1,1,join,0.0168851999999999,
31,4,10,53,1.7096774193548387,3,0,1.7096774193548387,7,0,3.419354838709677,7,2,1,3,join,0.0445839000000001,
23,5,6,37,1.608695652173913,3,0,1.608695652173913,5,0,3.217391304347826,5,1,2,1,join,0.0151379999999998,
16,3,5,27,1.6875,3,0,1.6875,6,0,3.375,6,2,1,1,join,0.0194437999999999,
35,7,7,59,1.6857142857142855,3,0,1.6857142857142855,6,0,3.3714285714285714,6,1,1,2,join,0.0841232,
31,6,8,61,1.967741935483871,3,0,1.967741935483871,9,0,3.935483870967742,9,2,1,2,join,0.0316293999999999,
26,6,7,48,1.8461538461538465,3,0,1.8461538461538465,7,0,3.692307692307693,7,1,1,4,join,0.0318211000000001,
4,2,1,4,1.0,2,0,1.0,3,0,2.0,3,1,1,1,join,0.0089562,
25,4,6,42,1.68,3,0,1.68,7,0,3.36,7,2,1,3,join,0.0773828,
16,4,4,25,1.5625,3,0,1.5625,5,0,3.125,5,2,1,1,join,0.0175095999999999,
20,5,4,34,1.7,3,0,1.7,7,0,3.4,7,1,2,2,join,0.0489835999999996,
25,5,6,36,1.44,3,0,1.44,5,0,2.88,5,1,1,1,join,0.0156572000000001,
25,3,6,44,1.76,3,0,1.76,7,0,3.52,7,1,1,3,join,0.2474373,
29,6,9,46,1.5862068965517242,3,0,1.5862068965517242,8,0,3.1724137931034484,8,1,1,2,join,0.0365653000000003,
24,7,7,37,1.5416666666666667,3,0,1.5416666666666667,6,0,3.083333333333333,6,1,1,1,join,0.0199528999999998,
29,10,8,45,1.5517241379310345,3,0,1.5517241379310345,6,0,3.103448275862069,6,1,1,1,join,0.0655494,
32,6,11,55,1.71875,3,0,1.71875,8,0,3.4375,8,1,1,1,join,0.0393544999999999,
11,2,4,18,1.6363636363636365,3,0,1.6363636363636365,6,0,3.272727272727273,6,1,1,2,join,0.0230402,
32,6,7,54,1.6875,3,0,1.6875,6,0,3.375,6,1,2,4,join,0.1976797000000001,
30,9,10,47,1.5666666666666669,3,0,1.5666666666666669,6,0,3.1333333333333333,6,1,1,2,join,0.1691793999999999,
7,1,2,8,1.1428571428571428,3,0,1.1428571428571428,4,0,2.2857142857142856,4,1,1,1,join,0.0086941,
27,4,7,45,1.6666666666666667,3,0,1.6666666666666667,8,0,3.333333333333333,8,1,1,4,join,15.0523357,
34,6,8,61,1.7941176470588236,3,0,1.7941176470588236,7,0,3.588235294117647,7,1,3,5,join,6.134053399999999,
7,2,2,8,1.1428571428571428,3,0,1.1428571428571428,4,0,2.2857142857142856,4,1,1,1,join,0.0155208999999998,
29,6,10,50,1.7241379310344829,3,0,1.7241379310344829,7,0,3.4482758620689653,7,1,2,4,join,0.0489611999999999,
8,1,2,15,1.875,3,0,1.875,6,0,3.75,6,2,1,1,join,0.0230062000000002,
22,7,6,31,1.4090909090909092,3,0,1.4090909090909092,5,0,2.8181818181818183,5,1,1,2,join,0.0209623000000003,
