nodes,roots,leaves,edges,mean_predecessors,max_predecessors,min_predecessors,mean_successors,max_successors,min_successors,mean_edges,max_edges,min_edges,n_query_vars,n_query_evidence,experiment,runtime,exception
40,8,16,58,1.45,2,0,1.45,6,0,2.9,6,0,4,22,map_mindeg,40.9778705,
35,11,15,38,1.0857142857142856,2,0,1.0857142857142856,5,0,2.1714285714285717,5,0,4,21,map_mindeg,0.4291572999999999,
41,8,12,52,1.2682926829268293,2,0,1.2682926829268293,6,0,2.5365853658536586,6,1,4,21,map_mindeg,100.1138541,
30,3,12,42,1.4,2,0,1.4,7,0,2.8,7,0,2,17,map_mindeg,1.7346461999999998,
34,12,13,34,1.0,2,0,1.0,4,0,2.0,4,1,3,19,map_mindeg,0.5040423,
28,7,11,34,1.2142857142857142,2,0,1.2142857142857142,6,0,2.4285714285714284,6,1,2,16,map_mindeg,0.5103061000000002,
41,10,16,53,1.2926829268292683,2,0,1.2926829268292683,5,0,2.5853658536585367,5,1,4,24,map_mindeg,1.6601289,
33,8,13,43,1.303030303030303,2,0,1.303030303030303,5,0,2.606060606060606,5,0,2,19,map_mindeg,0.7166437999999999,
41,10,14,51,1.2439024390243902,2,0,1.2439024390243902,5,0,2.4878048780487805,5,1,4,23,map_mindeg,1.0735703,
30,6,12,43,1.4333333333333331,2,0,1.4333333333333331,6,0,2.8666666666666667,6,1,3,17,map_mindeg,10.9119145,
31,7,10,39,1.2580645161290325,2,0,1.2580645161290325,5,0,2.5161290322580645,5,1,3,15,map_mindeg,0.4068382000000001,
41,10,13,52,1.2682926829268293,2,0,1.2682926829268293,7,0,2.5365853658536586,7,1,4,24,map_mindeg,1.0174428,
43,6,16,63,1.4651162790697674,2,0,1.4651162790697674,8,0,2.9302325581395348,8,1,4,24,map_mindeg,6.6032736000000005,
38,9,13,49,1.2894736842105263,2,0,1.2894736842105263,5,0,2.5789473684210527,5,1,4,21,map_mindeg,6.5059719000000005,
41,10,15,55,1.3414634146341464,2,0,1.3414634146341464,7,0,2.682926829268293,7,1,4,24,map_mindeg,8.793828699999999,
40,10,12,52,1.3,2,0,1.3,6,0,2.6,6,0,4,23,map_mindeg,1.0951976,
30,4,8,43,1.4333333333333331,2,0,1.4333333333333331,8,0,2.8666666666666667,8,1,3,18,map_mindeg,3.6395086,
39,7,15,55,1.4102564102564104,2,0,1.4102564102564104,6,0,2.8205128205128207,6,1,3,21,map_mindeg,5.4735529000000005,
42,9,15,54,1.2857142857142858,2,0,1.2857142857142858,6,0,2.571428571428572,6,1,4,23,map_mindeg,14.810606599999998,
31,7,10,41,1.3225806451612905,2,0,1.3225806451612905,5,0,2.6451612903225805,5,1,2,17,map_mindeg,2.3364178000000004,
38,7,12,50,1.3157894736842106,2,0,1.3157894736842106,7,0,2.631578947368421,7,1,4,22,map_mindeg,1.0596918,
44,8,14,61,1.3863636363636365,2,0,1.3863636363636365,7,0,2.772727272727273,7,1,4,22,map_mindeg,8.8603707,
33,7,10,46,1.393939393939394,2,0,1.393939393939394,5,0,2.787878787878788,5,1,3,17,map_mindeg,1.2365929000000002,
38,10,12,48,1.263157894736842,2,0,1.263157894736842,5,0,2.526315789473684,5,1,3,21,map_mindeg,0.5566339,
37,8,13,49,1.3243243243243243,2,0,1.3243243243243243,6,0,2.6486486486486487,6,1,3,21,map_mindeg,2.5414028,
35,9,16,44,1.2571428571428571,2,0,1.2571428571428571,6,0,2.5142857142857142,6,1,4,20,map_mindeg,2.2448899,
43,13,17,54,1.255813953488372,2,0,1.255813953488372,5,0,2.511627906976744,5,0,3,23,map_mindeg,0.6091435999999999,
40,6,15,59,1.475,2,0,1.475,6,0,2.95,6,1,4,22,map_mindeg,1.168863,
30,7,11,37,1.2333333333333334,2,0,1.2333333333333334,6,0,2.466666666666667,6,1,3,19,map_mindeg,0.5964760999999998,
38,7,15,55,1.4473684210526316,2,0,1.4473684210526316,7,0,2.8947368421052637,7,1,4,22,map_mindeg,18.4008244,
34,7,16,47,1.3823529411764706,2,0,1.3823529411764706,6,0,2.764705882352941,6,0,3,20,map_mindeg,2.0112250000000005,
33,6,13,46,1.393939393939394,2,0,1.393939393939394,6,0,2.787878787878788,6,1,3,17,map_mindeg,1.9754436,
29,5,11,45,1.5517241379310345,2,0,1.5517241379310345,6,0,3.103448275862069,6,2,3,17,map_mindeg,1.1398912,
35,8,12,49,1.4,2,0,1.4,7,0,2.8,7,1,3,21,map_mindeg,17.538183999999998,
30,7,12,37,1.2333333333333334,2,0,1.2333333333333334,5,0,2.466666666666667,5,1,3,17,map_mindeg,0.9697460000000002,
28,7,14,32,1.1428571428571428,2,0,1.1428571428571428,7,0,2.2857142857142856,7,0,3,16,map_mindeg,0.2810320000000001,
37,8,13,43,1.162162162162162,2,0,1.162162162162162,5,0,2.324324324324324,5,0,3,19,map_mindeg,0.6088779,
37,8,10,48,1.2972972972972974,2,0,1.2972972972972974,6,0,2.5945945945945947,6,1,4,22,map_mindeg,2.3935847,
33,7,11,40,1.2121212121212122,2,0,1.2121212121212122,5,0,2.4242424242424243,5,0,3,21,map_mindeg,14.1589202,
39,10,14,50,1.2820512820512822,2,0,1.2820512820512822,7,0,2.5641025641025643,7,1,4,21,map_mindeg,0.4276597,
43,7,17,58,1.3488372093023255,2,0,1.3488372093023255,7,0,2.697674418604651,7,1,4,24,map_mindeg,9.5383662,
31,5,11,42,1.3548387096774193,2,0,1.3548387096774193,6,0,2.7096774193548385,6,1,2,18,map_mindeg,2.4033304,
32,4,11,50,1.5625,2,0,1.5625,6,0,3.125,6,1,3,18,map_mindeg,1.4195245,
44,10,16,56,1.2727272727272727,2,0,1.2727272727272727,8,0,2.5454545454545454,8,0,4,26,map_mindeg,16.5375034,
43,10,15,55,1.2790697674418603,2,0,1.2790697674418603,5,0,2.558139534883721,5,1,4,22,map_mindeg,0.9995983000000002,
42,8,14,55,1.3095238095238095,2,0,1.3095238095238095,5,0,2.619047619047619,5,1,4,26,map_mindeg,1.5122896,
41,9,16,55,1.3414634146341464,2,0,1.3414634146341464,6,0,2.682926829268293,6,0,3,26,map_mindeg,17.1023589,
36,11,13,45,1.25,2,0,1.25,5,0,2.5,5,1,4,18,map_mindeg,0.8139784000000003,
35,11,13,43,1.2285714285714286,2,0,1.2285714285714286,6,0,2.4571428571428573,6,0,3,18,map_mindeg,1.9727773,
39,6,13,55,1.4102564102564104,2,0,1.4102564102564104,6,0,2.8205128205128207,6,1,4,20,map_mindeg,16.286200899999997,
37,11,14,47,1.2702702702702702,2,0,1.2702702702702702,6,0,2.5405405405405403,6,1,4,17,map_mindeg,1.1570935999999996,
35,9,10,44,1.2571428571428571,2,0,1.2571428571428571,8,0,2.5142857142857142,8,1,4,18,map_minfill,0.6922307999999999,
39,10,15,47,1.205128205128205,2,0,1.205128205128205,5,0,2.41025641025641,5,1,4,22,map_minfill,0.8485901999999999,
32,5,12,46,1.4375,2,0,1.4375,6,0,2.875,6,0,2,20,map_minfill,3.7653642,
37,7,11,54,1.4594594594594594,2,0,1.4594594594594594,6,0,2.918918918918919,6,1,3,18,map_minfill,1.4629549000000002,
42,11,15,55,1.3095238095238095,2,0,1.3095238095238095,5,0,2.619047619047619,5,0,4,21,map_minfill,3.8063446,
34,9,13,43,1.2647058823529411,2,0,1.2647058823529411,7,0,2.5294117647058822,7,1,3,19,map_minfill,2.6935947,
38,9,13,50,1.3157894736842106,2,0,1.3157894736842106,7,0,2.631578947368421,7,0,4,20,map_minfill,5.5476545,
40,11,16,45,1.125,2,0,1.125,5,0,2.25,5,1,4,23,map_minfill,0.2971162999999999,
31,9,12,38,1.2258064516129032,2,0,1.2258064516129032,6,0,2.4516129032258065,6,1,3,18,map_minfill,0.3665354,
