nodes,roots,leaves,edges,mean_predecessors,max_predecessors,min_predecessors,mean_successors,max_successors,min_successors,mean_edges,max_edges,min_edges,experiment,runtime
343,81,113,455,1.326530612244898,2,0,1.326530612244898,9,0,2.653061224489796,9,0,order_random,0.0790394
448,94,169,586,1.3080357142857142,2,0,1.3080357142857142,7,0,2.6160714285714284,7,0,order_random,0.1420591
42,9,13,53,1.261904761904762,2,0,1.261904761904762,5,0,2.523809523809524,5,1,order_random,0.0060323000000002
353,77,130,476,1.348441926345609,2,0,1.348441926345609,8,0,2.696883852691218,8,0,order_random,0.0841558000000004
198,49,66,255,1.2878787878787878,2,0,1.2878787878787878,6,0,2.575757575757576,6,0,order_random,0.0326487000000002
206,47,70,275,1.3349514563106797,2,0,1.3349514563106797,8,0,2.66990291262136,8,0,order_random,0.0377745000000002
44,9,14,57,1.2954545454545454,2,0,1.2954545454545454,5,0,2.590909090909091,5,1,order_random,0.0047719999999999
398,83,144,531,1.3341708542713568,2,0,1.3341708542713568,8,0,2.6683417085427137,8,0,order_random,0.1108003999999995
433,102,167,559,1.2909930715935334,2,0,1.2909930715935334,8,0,2.5819861431870668,8,0,order_random,0.1136853000000002
123,27,45,165,1.3414634146341464,2,0,1.3414634146341464,6,0,2.682926829268293,6,1,order_random,0.0119275999999999
373,91,132,486,1.3029490616621984,2,0,1.3029490616621984,8,0,2.6058981233243967,8,0,order_random,0.0809426999999995
104,21,39,146,1.4038461538461535,2,0,1.4038461538461535,8,0,2.8076923076923075,8,0,order_random,0.0100227000000003
217,39,82,295,1.359447004608295,2,0,1.359447004608295,8,0,2.71889400921659,8,1,order_random,0.0301511000000003
441,103,163,575,1.303854875283447,2,0,1.303854875283447,9,0,2.6077097505668934,9,0,order_random,0.1156739
323,70,109,426,1.3188854489164086,2,0,1.3188854489164086,7,0,2.637770897832817,7,0,order_random,0.0720653999999996
316,68,120,428,1.3544303797468351,2,0,1.3544303797468351,8,0,2.7088607594936707,8,0,order_random,0.0589355000000004
35,6,12,51,1.457142857142857,2,0,1.457142857142857,6,0,2.914285714285714,6,1,order_random,0.0024315000000001
428,87,160,565,1.3200934579439252,2,0,1.3200934579439252,7,0,2.6401869158878504,7,0,order_random,0.1376841999999998
77,17,29,99,1.2857142857142858,2,0,1.2857142857142858,7,0,2.571428571428572,7,0,order_random,0.0064049999999999
359,80,130,469,1.3064066852367688,2,0,1.3064066852367688,9,0,2.6128133704735377,9,0,order_random,0.1011980999999995
490,106,170,637,1.3,2,0,1.3,8,0,2.6,8,0,order_random,0.1705405000000004
462,97,160,628,1.3593073593073592,2,0,1.3593073593073592,8,0,2.7186147186147185,8,0,order_random,0.1457847000000001
45,14,13,54,1.2,2,0,1.2,6,0,2.4,6,1,order_random,0.0045711000000006
264,59,90,360,1.3636363636363635,2,0,1.3636363636363635,7,0,2.727272727272727,7,0,order_random,0.0504344000000003
200,42,74,270,1.35,2,0,1.35,7,0,2.7,7,0,order_random,0.0260924000000004
191,39,72,252,1.3193717277486912,2,0,1.3193717277486912,7,0,2.6387434554973823,7,1,order_random,0.0251901999999999
413,86,141,554,1.341404358353511,2,0,1.341404358353511,8,0,2.682808716707022,8,0,order_random,0.1228552
124,33,47,153,1.2338709677419355,2,0,1.2338709677419355,6,0,2.467741935483871,6,0,order_random,0.0132269000000002
15,4,5,19,1.2666666666666666,2,0,1.2666666666666666,5,0,2.533333333333333,5,0,order_random,0.0010509
457,121,167,573,1.2538293216630196,2,0,1.2538293216630196,8,0,2.5076586433260397,8,0,order_random,0.1445696999999999
277,57,102,364,1.3140794223826715,2,0,1.3140794223826715,8,0,2.628158844765343,8,0,order_random,0.0603122999999996
93,17,33,127,1.3655913978494625,2,0,1.3655913978494625,7,0,2.7311827956989245,7,1,order_random,0.0099875000000002
411,89,142,556,1.3527980535279804,2,0,1.3527980535279804,7,0,2.705596107055961,7,0,order_random,0.1385370000000003
432,86,163,588,1.3611111111111112,2,0,1.3611111111111112,9,0,2.7222222222222223,9,0,order_random,0.1430980000000001
5,1,2,6,1.2,2,0,1.2,4,0,2.4,4,1,order_random,0.0003299000000005
